time/iterations,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/fps,train/policy_gradient_loss,train/std,train/loss,train/entropy_loss,train/n_updates,train/clip_fraction,train/approx_kl,train/clip_range,train/learning_rate,train/explained_variance,train/value_loss,eval/mean_ep_length,eval/mean_reward
93,1127,1000.0,761856,1420.04335744,675,0.02991274287342094,0.18826162815093994,-0.04393226280808449,1.4533564248122275,920,0.8308349609375,1.7550421,0.32574786615368245,0.000521211910130166,0.8804980367422104,0.0012117054011014261,,
94,1141,1000.0,770048,1424.1261005199997,674,0.03934995239123964,0.18800939619541168,-0.0794256255030632,1.4378554286435246,930,0.8162109375,1.3637258,0.32574786615368245,0.000521211910130166,0.8957575783133507,0.001147895239682839,,
95,1155,1000.0,778240,1424.5902778600002,673,0.030314961832846165,0.18847106397151947,0.008204737678170204,1.4304519966244698,940,0.81175537109375,1.1697085,0.32574786615368245,0.000521211910130166,0.8807471841573715,0.0010868668977082052,,
96,1169,1000.0,786432,1430.66007976,672,0.03445888152346015,0.19070148468017578,-0.045843880623579025,1.3787414696998894,950,0.80892333984375,1.3042924,0.32574786615368245,0.000521211910130166,0.8875947669148445,0.0012706532342917853,,
97,1182,1000.0,794624,1433.9361749700006,671,0.01748318548598036,0.19196872413158417,-0.06296725571155548,1.35074639422819,960,0.81290283203125,1.3755906,0.32574786615368245,0.000521211910130166,0.8740856200456619,0.0013821253711739701,,
,,,800000,,,0.022098705312237142,0.1920398324728012,-0.0417213998734951,1.328363116271794,970,0.81136474609375,1.8690705,0.32574786615368245,0.000521211910130166,0.8770228698849678,0.001192235540997899,1000.0,34.28824899999999
98,1203,1000.0,802816,1447.4448634200003,667,,,,,,,,,,,,,
99,1216,1000.0,811008,1480.4076408000003,666,-0.004075096751148521,0.19016896188259125,-0.11266595125198364,1.3838368814438582,980,0.80313720703125,1.8181248,0.32574786615368245,0.000521211910130166,0.9431319236755371,0.0014430514272362415,,
100,1230,1000.0,819200,1476.2873441599995,665,0.02308806307682971,0.1912991851568222,-0.08307106792926788,1.3277262813411652,990,0.8109130859375,1.2317891,0.32574786615368245,0.000521211910130166,0.8525370210409164,0.0015881441020155762,,
101,1244,1000.0,827392,1470.5220792699997,665,0.02270623359054298,0.19128043949604034,-0.03718944638967514,1.3396011634729803,1000,0.80712890625,1.4332825,0.32574786615368245,0.000521211910130166,0.8657567054033279,0.0015188917564501025,,
102,1257,1000.0,835584,1470.3824711,664,0.017793895486101975,0.1930895298719406,-0.11458650231361389,1.2892231347970664,1010,0.8056640625,1.2459028,0.32574786615368245,0.000521211910130166,0.8463352024555206,0.0013208158064799136,,
103,1271,1000.0,843776,1469.0796648300002,663,0.013264228108164388,0.19233529269695282,0.5697816014289856,1.3023970806971192,1020,0.80816650390625,1.3421452,0.32574786615368245,0.000521211910130166,0.8519296944141388,0.0012809308520445484,,
104,1285,1000.0,851968,1469.7653649600002,662,0.014998186259617796,0.1909933239221573,0.013271687552332878,1.3375364549458026,1030,0.79200439453125,1.1805297,0.32574786615368245,0.000521211910130166,0.8711312115192413,0.001297306490118899,,
105,1299,1000.0,860160,1456.1895790999997,662,0.005021223378753348,0.19126230478286743,-0.08852700144052505,1.3718327683396638,1040,0.80389404296875,1.2981337,0.32574786615368245,0.000521211910130166,0.8567022830247879,0.0012811281907488593,,
106,1312,1000.0,868352,1455.2020704400002,661,-0.03306534680959885,0.18791751563549042,-0.11668910086154938,1.443490008637309,1050,0.78065185546875,4.317687,0.32574786615368245,0.000521211910130166,0.9810934364795685,0.0015417865595736657,,
107,1326,1000.0,876544,1448.78502507,660,0.027496046477608616,0.18916477262973785,-0.05369864031672478,1.4279630046337843,1060,0.811376953125,1.2411002,0.32574786615368245,0.000521211910130166,0.8835703656077385,0.001297267949075831,,
108,1340,1000.0,884736,1444.80767773,659,0.014549958259704,0.19038672745227814,-0.06768644601106644,1.4093086805194617,1070,0.79549560546875,1.3888983,0.32574786615368245,0.000521211910130166,0.8992417007684708,0.001486397534426942,,
109,1354,1000.0,892928,1446.83181643,659,0.0035401974702836013,0.18964417278766632,-0.09395455569028854,1.3964599083177744,1080,0.7840087890625,1.2260029,0.32574786615368245,0.000521211910130166,0.9153176918625832,0.0013850576273398475,,
110,1368,1000.0,901120,1450.1840216400003,658,0.013447915783763165,0.1884789913892746,0.03991927579045296,1.4269521415233613,1090,0.796142578125,1.1944575,0.32574786615368245,0.000521211910130166,0.88874351978302,0.0011129132914902585,,
111,1382,1000.0,909312,1451.57486818,657,0.011290892729448387,0.18923430144786835,-0.07903889566659927,1.422113229613751,1100,0.78687744140625,1.1463668,0.32574786615368245,0.000521211910130166,0.9250330254435539,0.0012385230844301986,,
112,1395,1000.0,917504,1455.4164939600005,657,0.02961532997305767,0.1910228580236435,-0.09485021978616714,1.3671585218980908,1110,0.8076171875,1.3538835,0.32574786615368245,0.000521211910130166,0.921876460313797,0.001221627465633901,,
113,1409,1000.0,925696,1457.13375985,656,0.004211254224537697,0.19228553771972656,0.026119625195860863,1.3200588433071971,1120,0.804052734375,1.2681357,0.32574786615368245,0.000521211910130166,0.8824634924530983,0.0014673123185275471,,
114,1423,1000.0,933888,1456.6442336699997,656,0.008639205037979991,0.18986976146697998,-0.032879218459129333,1.3618463138118386,1130,0.78992919921875,1.183918,0.32574786615368245,0.000521211910130166,0.903767004609108,0.0013161345705839267,,
115,1437,1000.0,942080,1455.9568981799998,655,0.02686532131265267,0.1901024580001831,-0.05436860769987106,1.3925738108344377,1140,0.83255615234375,1.8324848,0.32574786615368245,0.000521211910130166,0.903122715651989,0.001406154953178884,,
116,1451,1000.0,950272,1456.73326322,654,0.00577606263141206,0.1889563649892807,-0.039934881031513214,1.4210992887616158,1150,0.7805908203125,1.2329632,0.32574786615368245,0.000521211910130166,0.9430653415620327,0.0017961955010378007,,
117,1465,1000.0,958464,1446.2434307600001,654,-0.02557699731323737,0.18625450134277344,-0.1345146745443344,1.515097787603736,1160,0.7563232421875,1.8813941,0.32574786615368245,0.000521211910130166,0.956986915320158,0.0010243626571991627,,
